top_high5_result_id,contestant_id,contest_id,level,round_id,jurisdiction,rank,score,total_votes,migrated,reason
1082,585,74,regional,3,West Africa,2,4,1,True,AUTHORITATIVE_COHORT_RESULT
1083,633,74,regional,3,West Africa,3,3,1,True,AUTHORITATIVE_COHORT_RESULT
1084,190,74,regional,3,West Africa,4,2,1,True,AUTHORITATIVE_COHORT_RESULT
1085,194,76,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1086,198,78,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1089,623,78,regional,3,West Africa,4,20,4,True,AUTHORITATIVE_COHORT_RESULT
1092,202,80,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1093,206,82,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1094,210,84,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1095,526,86,regional,3,East Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1096,214,86,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1097,218,88,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1098,222,90,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1099,226,92,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1100,230,94,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1101,238,98,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1102,242,100,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1103,246,102,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1104,248,103,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1105,250,104,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1106,254,106,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1107,258,108,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1108,262,110,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1109,266,112,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1110,270,114,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1111,272,115,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1112,276,117,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1113,280,119,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1114,284,121,regional,3,West Africa,1,5,1,True,AUTHORITATIVE_COHORT_RESULT
1115,288,123,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1116,292,125,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1117,296,127,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1118,300,129,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1119,304,131,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1120,308,133,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1121,312,135,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1123,320,139,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1124,324,141,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1125,328,143,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1126,332,145,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1127,573,147,regional,3,East Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1128,336,147,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1129,340,149,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1130,344,151,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1131,348,153,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1132,352,155,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1133,356,157,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1134,360,159,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1135,364,161,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1136,368,163,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1137,372,165,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1138,376,167,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1139,380,169,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1140,382,170,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
1141,384,171,regional,3,West Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
